genome_fasta,cluster,super_cluster,rep_cluster,rep_genome,dataset,bai_gene_cluster
BackhedF_2015__SID172_M__bin.48.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
CM_madagascar__A62_01_1FE__bin.3.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
CM_madagascar__A92_01_1FE__bin.43.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
CM_madagascar__A93_01_1FE__bin.4.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
CM_madagascar__V30_01_1FE__bin.56.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
FengQ_2015__SID31233__bin.3.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
FengQ_2015__SID31256__bin.26.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
FengQ_2015__SID31379__bin.37.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
FengQ_2015__SID31723__bin.17.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
HeQ_2017__SZAXPI029495-96__bin.55.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
HeQ_2017__SZAXPI029583-101__bin.15.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
KarlssonFH_2013__S312__bin.105.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
LiJ_2014__O2.UC15-1__bin.13.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
LiJ_2014__V1.CD2-0-PT__bin.20.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
LoombaR_2017__SID5395_kej__bin.39.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
NielsenHB_2014__V1_CD17_4__bin.4.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
NielsenHB_2014__V1_UC4_5__bin.77.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
NielsenHB_2014__V1_UC54_0__bin.76.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
ZellerG_2014__CCIS87605453ST-4-0__bin.33.fa,Pasolli_4552,2,midas_uncultured_Eubacterium_73696,uncultured_Eubacterium_73696,midas,2
BackhedF_2015__SID18_M__bin.59.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BackhedF_2015__SID241_M__bin.4.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BackhedF_2015__SID640_M__bin.52.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES15__bin.75.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES28__bin.68.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES37__bin.46.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.138.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES40__bin.31.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.87.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES58__bin.6.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.105.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES61__bin.2.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES62__bin.38.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES67__bin.23.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES7__bin.65.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.49.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
Bengtsson-PalmeJ_2015__TRAVELRES8__bin.94.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BritoIL_2016__M1.10.ST__bin.31.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BritoIL_2016__M1.4.ST__bin.46.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BritoIL_2016__M2.41.ST__bin.6.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BritoIL_2016__W1.2.ST__bin.35.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BritoIL_2016__W2.67.ST__bin.70.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BritoIL_2016__W2.9.ST__bin.29.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
BritoIL_2016__WL.44.ST__bin.40.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ChengpingW_2017__AS128raw__bin.37.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ChengpingW_2017__AS132raw__bin.35.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ChengpingW_2017__AS17raw__bin.50.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
ChengpingW_2017__AS78raw__bin.15.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__alien-11-600-0__bin.60.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__alien-11-637-0__bin.55.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__alien-11-773-0__bin.30.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__alien-11-895-0__bin.18.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__alien-11-898-0__bin.45.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__alien-11-902-0__bin.10.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__alien-11-904-0__bin.46.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__alien-11-918-0__bin.42.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__alien4-11-0-0__bin.29.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__donald4-11-0-0__bin.19.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__donald5-11-7-0__bin.68.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
